title,url,published,document_type,organisations,evaluation_type,method_signal
Domestic abuse sanctuary schemes: process evaluation findings,https://www.gov.uk/government/publications/domestic-abuse-sanctuary-schemes-process-evaluation-findings,2026-07-09T09:00:06Z,research,"Ministry of Housing, Communities and Local Government",process,unstated
"Our Children, Our Future: Tackling Child Poverty - Monitoring and Evaluation baseline report",https://www.gov.uk/government/publications/our-children-our-future-tackling-child-poverty-monitoring-and-evaluation-baseline-report,2026-07-09T08:30:00Z,research,Department for Work and Pensions,unclear,survey_monitoring
Local Implementation and Evaluation of Work and Health Active Labour Market Programmes,https://www.gov.uk/government/publications/local-implementation-and-evaluation-of-work-and-health-active-labour-market-programmes,2026-07-08T08:15:06Z,research,Department for Work and Pensions,process,unstated
Offensive Weapons Homicide Review (OWHR) pilot evaluation,https://www.gov.uk/government/publications/offensive-weapons-homicide-review-owhr-pilot-evaluation,2026-07-03T14:34:21Z,research,Home Office,impact,unstated
Government Office for Technology Transfer: progress evaluation report,https://www.gov.uk/government/publications/government-office-for-technology-transfer-progress-evaluation-report,2026-07-03T14:00:01Z,research,Government Office for Technology Transfer,process,unstated
Electronic monitoring of domestic abuse perpetrators on licence: process and interim impact evaluation,https://www.gov.uk/government/publications/electronic-monitoring-of-domestic-abuse-perpetrators-on-licence-process-and-interim-impact-evaluation,2026-07-02T09:00:10Z,research,Ministry of Justice,mixed,unstated
London Accommodation Pathfinder 2nd Evaluation,https://www.gov.uk/government/publications/london-accommodation-pathfinder-2nd-evaluation,2026-07-02T08:30:00Z,research,Youth Justice Board for England and Wales,process,unstated
UKHSA Evaluation Strategy,https://www.gov.uk/government/publications/ukhsa-evaluation-strategy,2026-06-30T08:30:00Z,research,UK Health Security Agency,unclear,unstated
BDUK GigaHubs Evaluation: Process Review,https://www.gov.uk/government/publications/bduk-gigahubs-evaluation-process-review,2026-06-26T15:45:05Z,research,"Department for Science, Innovation and Technology",process,unstated
Supporting Families spend evaluation: final report,https://www.gov.uk/government/publications/supporting-families-spend-evaluation-final-report--2,2026-06-25T15:00:06Z,research,Department for Education,economic,unstated
Evaluation of Additional Work Coach Support,https://www.gov.uk/government/publications/evaluation-of-additional-work-coach-support,2026-06-25T15:00:04Z,research,Department for Work and Pensions; Government Social Research Profession,impact,mixed_methods
Individual Placement and Support in Primary Care (IPSPC) Evaluation report,https://www.gov.uk/government/publications/individual-placement-and-support-in-primary-care-ipspc-evaluation-report,2026-06-25T15:00:02Z,research,Department for Work and Pensions,impact,mixed_methods
Intensive Personalised Employment Support (IPES) Programme Evaluation,https://www.gov.uk/government/publications/intensive-personalised-employment-support-ipes-programme-evaluation,2026-06-25T15:00:02Z,research,Department for Work and Pensions,impact,mixed_methods
Business Energy Advice Service (BEAS) pilot: process evaluation,https://www.gov.uk/government/publications/business-energy-advice-service-beas-pilot-process-evaluation,2026-06-25T09:00:05Z,research,Department for Energy Security and Net Zero,process,unstated
Industrial Energy Transformation Fund (IETF): interim impact evaluation,https://www.gov.uk/government/publications/industrial-energy-transformation-fund-ietf-interim-impact-evaluation,2026-06-25T09:00:04Z,research,Department for Energy Security and Net Zero,impact,unstated
Business Energy Advice Service (BEAS) pilot: impact evaluation,https://www.gov.uk/government/publications/business-energy-advice-service-beas-pilot-impact-evaluation,2026-06-25T09:00:00Z,research,Department for Energy Security and Net Zero,impact,unstated
Local Digital programme evaluation,https://www.gov.uk/government/publications/local-digital-programme-evaluation,2026-06-22T08:30:01Z,research,"Ministry of Housing, Communities and Local Government",mixed,unstated
Million Hours Fund evaluation: phase two first interim report,https://www.gov.uk/government/publications/million-hours-fund-evaluation-phase-two-first-interim-report,2026-06-19T10:46:58Z,research,"Department for Culture, Media and Sport",process,unstated
Million Hours Fund evaluation: phase two second interim report,https://www.gov.uk/government/publications/million-hours-fund-evaluation-phase-two-second-interim-report,2026-06-19T10:24:00Z,research,"Department for Culture, Media and Sport",process,unstated
Expanded drug rehabilitation requirement drug testing: Process evaluation,https://www.gov.uk/government/publications/expanded-drug-rehabilitation-requirement-drug-testing-process-evaluation,2026-06-18T09:00:04Z,research,Ministry of Justice; HM Prison and Probation Service,process,unstated
Evaluating the Effectiveness of Line Management Training,https://www.gov.uk/government/publications/evaluating-the-effectiveness-of-line-management-training,2026-06-17T08:00:04Z,research,Government Skills,impact,unstated
Evaluation of the initiatives to enhance the move on process,https://www.gov.uk/government/publications/evaluation-of-the-initiatives-to-enhance-the-move-on-process,2026-06-10T08:30:00Z,research,Home Office,mixed,unstated
HMRC Evaluation Framework,https://www.gov.uk/government/publications/hmrc-evaluation-framework,2026-06-05T15:06:59Z,research,HM Revenue & Customs,feasibility,unstated
Attendance mentors intervention: year 2 and 3 evaluation,https://www.gov.uk/government/publications/attendance-mentors-intervention-year-2-and-3-evaluation,2026-06-02T14:22:01Z,research,Department for Education,impact,unstated
Forecast evaluation report – June 2026,https://www.gov.uk/government/publications/forecast-evaluation-report-june-2026,2026-06-02T13:13:35Z,independent_report,Office for Budget Responsibility,economic,unstated
Breakfast club early adopters: interim evaluation,https://www.gov.uk/government/publications/breakfast-club-early-adopters-interim-evaluation,2026-05-28T15:00:02Z,research,Department for Education,process,unstated
Multiply programme evaluation,https://www.gov.uk/government/publications/multiply-programme-evaluation,2026-05-28T15:00:00Z,research,Department for Education,impact,unstated
Shingles immunisation programme [Shingrix®]: evaluation reports,https://www.gov.uk/government/publications/shingles-immunisation-programme-shingrix-evaluation-reports,2026-05-28T08:30:17Z,research,UK Health Security Agency,impact,unstated
Energy Efficiency Scheme: Final Evaluation Report,https://www.gov.uk/government/publications/energy-efficiency-scheme-final-evaluation-report,2026-05-28T08:30:15Z,research,"Department for Culture, Media and Sport",impact,unstated
Evaluation evidence from policies targeted at benefit claimants aged 50 plus,https://www.gov.uk/government/publications/evaluation-evidence-from-policies-targeted-at-benefit-claimants-aged-50-plus,2026-05-28T08:30:12Z,research,Department for Work and Pensions,evidence_synthesis,unstated
Transport safety officer pilot evaluation,https://www.gov.uk/government/publications/transport-safety-officer-pilot-evaluation,2026-05-28T08:30:09Z,research,Department for Transport,impact,unstated
HMRC Evaluation Framework,https://www.gov.uk/government/publications/hmrc-evaluation-framework--2,2026-05-27T08:30:00Z,research,HM Revenue & Customs,process,unstated
Improving outcomes through legal support grant: interim evaluation report,https://www.gov.uk/government/publications/improving-outcomes-through-legal-support-grant-interim-evaluation-report,2026-05-26T09:00:01Z,research,Ministry of Justice,impact,unstated
HMRC Cultural Tax Relief Evaluation,https://www.gov.uk/government/publications/hmrc-cultural-tax-relief-evaluation,2026-05-21T08:30:02Z,research,HM Revenue & Customs,economic,unstated
WorkWell Pilots Evaluation Early Implementation Findings,https://www.gov.uk/government/publications/workwell-pilots-evaluation-early-implementation-findings,2026-05-21T08:30:02Z,research,Department for Work and Pensions; Department of Health and Social Care; Government Social Research Profession,process,unstated
Process evaluation of Combating Drugs Partnerships,https://www.gov.uk/government/publications/process-evaluation-of-combating-drugs-partnerships,2026-05-20T08:30:02Z,research,Home Office,process,unstated
Regulators' Pioneer Fund round 3: evaluation report and case studies,https://www.gov.uk/government/publications/regulators-pioneer-fund-round-3-evaluation-report-and-case-studies,2026-05-20T08:30:02Z,research,"Department for Science, Innovation and Technology; Regulatory Innovation Office",mixed,unstated
A qualitative process evaluation of a pilot of supervision for prison officers,https://www.gov.uk/government/publications/a-qualitative-process-evaluation-of-a-pilot-of-supervision-for-prison-officers,2026-05-14T09:15:01Z,research,HM Prison and Probation Service,process,qualitative
HIV Action Plan monitoring and evaluation framework,https://www.gov.uk/government/publications/hiv-action-plan-monitoring-and-evaluation-framework,2026-05-14T08:30:04Z,research,UK Health Security Agency,process,survey_monitoring
5G Innovation Regions programme and Smart Infrastructure Pilots Programme: evaluation reports,https://www.gov.uk/government/publications/5g-innovation-regions-programme-and-smart-infrastructure-pilots-programme-evaluation-reports,2026-05-13T08:27:00Z,research,"Department for Science, Innovation and Technology",impact,unstated
Accompanied Established Long-Term Relationships Overseas Pilot Evaluation,https://www.gov.uk/government/publications/accompanied-established-long-term-relationships-overseas-pilot-evaluation,2026-05-11T08:00:02Z,research,Ministry of Defence,feasibility,unstated
Evaluation of the Enhanced Support for Jurors Pilot,https://www.gov.uk/government/publications/evaluation-of-the-enhanced-support-for-jurors-pilot,2026-05-08T08:00:02Z,research,HM Courts & Tribunals Service,impact,unstated
Newton Fund Impact Evaluation,https://www.gov.uk/government/publications/newton-fund-impact-evaluation,2026-05-06T08:30:01Z,research,"Department for Science, Innovation and Technology",impact,unstated
Further education targeted retention incentive evaluation: interim report,https://www.gov.uk/government/publications/further-education-targeted-retention-incentive-evaluation-interim-report,2026-04-30T15:00:02Z,research,Department for Education,impact,theory_based
"Evaluation of the Warm Home Discount scheme, 2022 to 2024",https://www.gov.uk/government/publications/evaluation-of-the-warm-home-discount-scheme-2022-to-2024,2026-04-30T12:25:00Z,research,Department for Energy Security and Net Zero,impact,unstated
